Designator,Mid X,Mid Y,Rotation,Layer
D1,113.0,-80.4,0.0,top
D10,171.85,-105.6,0.0,top
D2,144.4,-80.0,0.0,top
D3,170.6875,-80.6,0.0,top
D4,102.8,-56.6,0.0,top
D5,128.0875,-54.6,0.0,top
D6,140.6,-54.6,0.0,top
D7,171.85,-38.8,0.0,top
D8,87.2,-39.0,0.0,top
D9,86.95,-105.6,0.0,top
J1,133.2,-45.99,180.0,top
SW1,101.4,-66.28195,0.0,top
SW2,101.2,-90.48195,0.0,top
SW3,130.4,-66.28195,0.0,top
SW4,130.4,-90.48195,0.0,top
SW5,157.8,-66.28195,0.0,top
SW6,157.8,-90.48195,0.0,top
U1,156.6,-46.712,0.0,top
